SEQ_NO,ISBN_THIRTEEN_NO,TITLE_NM,AUTHR_NM,PUBLISHER_NM,PBLICTE_DE,IMAGE_URL,BOOK_INTRCN_CN,KDC_NM
244426,9788909079617,(고득점)완전수학,표준초등수학연구회 [편],교학사,2003[실은 20,https://bookthumb-phinf.pstatic.net/cover/018/939/01893923.jpg?type=m1&udate=20110415,모든 교과의 바탕인 수학을 어렵게 생각하는 학생들을 위해 표준초등수학연구회에서 고득점 완전수학 을 내놓았다 이 책은 학습을 통한 논리적인 사고력과 문제 해결 능력 창의력을 높이는 데 중점을 두어 독특한 편집체제를 갖추고 단원학습의 목표와 내용을 완전 분석했다 기본 문제에서부터 ,410.0
244467,9788989784562,(사회탐구영역)국사,이영재...[등]지음,이투스,2003[실은 20,http://image.aladin.co.kr/product/39/40/cover/8989784565_1.gif,기존의 참고서를 탈피한 색다른 개념의 학습교과서 고교생활을 거친 선배들이 모여 만든 수능 교과서로 책속의 설명을 읽기 쉬운 말투와 유머로 구성해 어려운 개념을 이해하기 쉽게 구성했다,911.0
245326,9788939701977,(9급 기술직·철도청 시험대비)물리,박재명;박진호 공편,화학사,2003[실은 20,https://bookthumb-phinf.pstatic.net/cover/002/551/00255160.jpg?type=m1&udate=20100226,급 기술직 철도청 시험 대비 물리 수험서 엄선된 문장으로 재구성된 본문으로 쉽고 정확한 이론 이해 보충 심화학습란으로 이해의 폭을 넓히고 다양한 실전 훈련을 위해 최근 기출문제와 예상 문제 외에 대입수능형 문제까지 곁들였다 각 장별 학습정리와 공식정리를 요약 암기노트로서의 기능을 첨가했다,420.0
245347,9788939702004,(7·9급 기술직 시험대비)건축계획,이남진 편저,화학사,2003[실은 20,http://image.aladin.co.kr/product/39/12/cover/893970200x_1.gif, 급 기술직 시험대비 건축계획 수험서 건축계획을 건축계획론 건축유형별 계획 건축환경 건축사 건축설비의 편으로 나누어 각 장으로 세분화 체계적으로 정리하였으며 다양하고 풍부한 내용의 그림 및 최근 기출 예상문제를 수록하였다,542.1
245361,9788939702110,(9급 공무원 시험대비)Text 국어,백한빛...[등]편저,화학사,2003[실은 20,https://bookthumb-phinf.pstatic.net/cover/001/172/00117286.jpg?type=m1&udate=20081009,년 급 공무원 시험 대비 수험서 차 교육과정을 반영 문학론 말하기듣기쓰기읽기 현대문법 고전문법 국문학사 바른 언어생활 한문 등 국어 전 방면에 걸쳐 학습내용 정리 해설 및 기출 예상문제 수록으로 시험에 대비할 수 있다,710.0
245373,9788939702134,(공무원 시험대비)Text 영어,"김동목,전균 [공]편저",화학사,2003[실은 20,https://bookthumb-phinf.pstatic.net/cover/018/900/01890008.jpg?type=m1&udate=20101005,년 공무원 시험 대비  교육방송 교재 문법과 단어 숙어 독해 생활 영어 등 최근 출제 비율이 높아지는 영역에 대한 대비를 충분히 할 수 있도록 독해부분을 대폭 증강하고 문법에도 새로운 내용을 추가했다,740.0
245374,9788939702127,(2003년 9급 공무원 시험대비)Text 국사,심태섭...[등]편저,화학사,2003[실은 20,https://bookthumb-phinf.pstatic.net/cover/018/900/01890007.jpg?type=m1&udate=20101005,년 급 공무원 시험대비  교육방송 교재 각 소단원별 핵심 학습 내용 정리 및 기출 예상 문제 수록으로 시험에 대비할 수 있게 했다,911.0
245381,9788939702042,(9급 기술직 시험대비)기계재료,신영진 편저,화학사,2003[실은 20,http://image.aladin.co.kr/product/39/0/cover/8939702042_1.gif,급 기술직 시험 대비 기계재료 학습서 신소재 분야까지 포함하는 기계 재료 일반 전 영역에 걸쳐 많은 그림과 설명으로 모든 수험생들이 쉽게 접근할 수 있도록 하였으며 각 장마다 출제 경향 및 출제 문제를 분석 적중 예상 문제를 충분히 수록하였다,530.41
245595,9788939703155,(Academy)형사소송법,이천수;이지민 [공]저,화학사,2003[실은 20,http://image.aladin.co.kr/product/39/16/cover/8939703154_1.jpg, 세부 독자대상  법원 검찰 일반순경 여자경찰 경비단 경찰 간부 시험대비 형사소송법 시험 준비생  학습난이도  처음 공부한 사람도 쉽게 이해할 수 있음  구성  문제,367.4
245606,9788939702141,(9급 공무원 시험대비)사회,신용욱...[등]편저,화학사,2003[실은 20,http://image.aladin.co.kr/product/38/25/cover/893970214x_1.gif,급 공무원 시험대비  교육방송 기본 교재 새로 개정된 국정교과서 정치경제와 사회문화 공통사회의 내용을 토대로 체계적으로 엮어 일목 요연한 요약 정리와 교과서외 중요 사항에 대한 보충 최신 출제경향에 맞춘 사고력과 응용력 향상을 위한 객관식 택일형 문제를 수록했다,300.0
246006,9788909080187,(하이코스)과학,김정연...[등저],교학사,2003[실은 20,https://bookthumb-phinf.pstatic.net/cover/018/944/01894417.jpg?type=m1&udate=20060303, 교과서 내용 명쾌한 분석정리  핵심을 꼭 짚는 평가 문항,400.0
247587,9788909079075,(고등학교)국사,권용기...[등]저,교학사,2003[실은 20,https://bookthumb-phinf.pstatic.net/cover/018/949/01894917.jpg?type=m1&udate=20060303, 내신 다지기 내신 성적 향상을 위해 개념 확인 문제 교과서 연구 문제 사고력 향상문제를 실어 학교 시험에 대비하도록 하였다 수능 맛보기 다양한 객관식 수능 문제를 통해 자신의 실력을 점검할 수 있고 수능 문제에 적응할 수 있도록 하였다 중간 기말고사 학교에서 실시하는 시험과 ,911.0
247590,9788909079051,(고등학교)사회,권재혁...[등]저,교학사,2003[실은 20,http://image.aladin.co.kr/product/38/60/cover/8909079053_1.gif, 내신 다지기 내신 성적 향상을 위해 개념 확인 문제 교과서 연구 문제 사고력 향상문제를 실어 학교 시험에 대비하도록 하였다 수능 맛보기 다양한 객관식 수능 문제를 통해 자신의 실력을 점검할 수 있고 수능 문제에 적응할 수 있도록 하였다 중간 기말고사 학교에서 실시하는 시험과 ,300.0
